"threat.status.cnc","search.str"
"DD","Actinocephalus glabrescens"
"DD","Actinocephalus graminifolius"
"EN","Actinocephalus herzogii"
"DD","Actinocephalus heterotrichus"
"DD","Actinocephalus nodifer"
"DD","Actinocephalus rhizomatosus"
"EN","Actinocephalus robustus"
"DD","Actinocephalus scytophyllus"
"EN","Actinocephalus stereophyllus"
"CR","Adamantinia miltonioides"
"LC","Adelothecium bogotense"
"EN","Adenocalymma dichilum"
"EN","Adenocalymma divaricatum"
"EN","Adenocalymma hypostictum"
"NT","Adenocalymma nervosum"
"LC","Adenocalymma nodosum"
"LC","Adenocalymma paulistarum"
"NT","Adenocalymma scabriusculum"
"EN","Adenocalymma subspicatum"
"CR","Adenocalymma ubatubense"
"CR","Adenophaedra cearensis"
"NT","Adesmia paranensis"
"CR","Adiantum diphyllum"
"EN","Adiantum discolor"
"EN","Adiantum mynsseniae"
"EN","Adiantum papillosum"
"EN","Adiantum tetragonum"
"EN","Aechmea alopecurus"
"EN","Aechmea amicorum"
"VU","Aechmea apocalyptica"
"VU","Aechmea azurea"
"VU","Aechmea bambusoides"
"NT","Aechmea blanchetiana"
"LC","Aechmea blumenavii"
"LC","Aechmea bromeliifolia"
"LC","Aechmea bromeliifolia var. albobracteata"
"LC","Aechmea calyculata"
"DD","Aechmea candida"
"DD","Aechmea capixabae"
"EN","Aechmea cariocae"
"EN","Aechmea castanea"
"LC","Aechmea caudata"
"LC","Aechmea cylindrata"
"LC","Aechmea distichantha"
"EN","Aechmea echinata"
"DD","Aechmea entringeri"
"NT","Aechmea eurycorymbus"
"EN","Aechmea fosteriana"
"LC","Aechmea gamosepala"
"LC","Aechmea gracilis"
"DD","Aechmea guarapariensis"
"EN","Aechmea kertesziae"
"EN","Aechmea kleinii"
"DD","Aechmea lingulata"
"NT","Aechmea maasii"
"EN","Aechmea macrochlamys"
"CR","Aechmea marginalis"
"EN","Aechmea muricata"
"EN","Aechmea mutica"
"LC","Aechmea nudicaulis"
"CR","Aechmea orlandiana"
"LC","Aechmea pectinata"
"DD","Aechmea pedicellata"
"DD","Aechmea pimenti-velosoi"
"DD","Aechmea podantha"
"DD","Aechmea recurvata var. albobracteata"
"DD","Aechmea recurvata var. ortgiesii"
"DD","Aechmea rubrolilacina"
"LC","Aechmea setigera"
"EN","Aechmea sphaerocephala"
"EN","Aechmea triangularis"
"VU","Aechmea vanhoutteana"
"EN","Aechmea werdermannii"
"CR","Aechmea winkleri"
"LC","Aeschynomene denticulata"
"EN","Aeschynomene fructipendula"
"LC","Aeschynomene montevidensis"
"LC","Aeschynomene selloi"
"DD","Aeschynomene sensitiva var. hispidula"
"NT","Agalinis angustifolia"
"CR","Agalinis bandeirensis"
"VU","Agalinis brachyphylla"
"LC","Agalinis communis"
"EN","Agalinis itambensis"
"EN","Agalinis nana"
"EN","Agalinis ramulifera"
"CR","Agalinis schwackeana"
"LC","Agarista chlorantha"
"LC","Agarista niederleinii"
"LC","Agarista nummularia"
"NT","Agarista pulchra"
"LC","Agenium leptocladum"
"EN","Agrianthus almasensis"
"EN","Agrianthus giuliettiae"
"DD","Agrimonia parviflora"
"VU","Agrostis lenis"
"EN","Agrostis longiberbis"
"CR","Agrostis ramboi"
"LC","Aiouea acarodomatifera"
"EN","Aiouea benthamiana"
"VU","Aiouea bracteata"
"EN","Aiouea lehmannii"
"DD","Aiouea macedoana"
"LC","Aiouea piauhyensis"
"LC","Aiouea trinervis"
"LC","Aiphanes ulei"
"DD","Akrosida macrophylla"
"CR","Alansmia senilis"
"VU","Albizia burkartiana"
"NT","Albizia decandra"
"LC","Albizia edwallii"
"EN","Albizia glabripetala"
"LC","Albizia niopoides"
"CR","Alcantarea benzingii"
"DD","Alcantarea burlemarxii"
"EN","Alcantarea duarteana"
"CR","Alcantarea farneyi"
"EN","Alcantarea geniculata"
"EN","Alcantarea glaziouana"
"VU","Alcantarea imperialis"
"VU","Alcantarea nahoumii"
"EN","Alcantarea nevaresii"
"NT","Alcantarea robertokautskyi"
"EN","Alcantarea vinicolor"
"DD","Aldama aspilioides"
"LC","Aldama bracteata"
"EN","Aldama corumbensis"
"EN","Aldama filifolia"
"VU","Aldama goyazii"
"CR","Aldama linearifolia"
"CR","Aldama paranensis"
"EN","Aldama vernonioides"
"CR","Algernonia dimitrii"
"CR","Algernonia kuhlmannii"
"LC","Allagoptera arenaria"
"VU","Allagoptera brevicalyx"
"DD","Allantoma integrifolia"
"DD","Allantoma kuhlmannii"
"LC","Allantoma pachyantha"
"DD","Allantoma pauciramosa"
"DD","Allantoma uaupensis"
"LC","Allophylus puberulus"
"LC","Allophylus semidentatus"
"EN","Aloysia hatschbachii"
"LC","Aloysia polygalifolia"
"VU","Alseis involuta"
"LC","Alsophila capensis"
"LC","Alsophila capensis subsp. polypodioides"
"EN","Alstroemeria amabilis"
"LC","Alstroemeria apertiflora"
"EN","Alstroemeria brasiliensis"
"CR","Alstroemeria capixaba"
"EN","Alstroemeria caryophyllaea"
"EN","Alstroemeria chapadensis"
"LC","Alstroemeria inodora"
"LC","Alstroemeria isabellana"
"CR","Alstroemeria malmeana"
"EN","Alstroemeria orchidioides"
"EN","Alstroemeria penduliflora"
"DD","Alstroemeria variegata"
"VU","Alternanthera hirtula"
"EN","Alternanthera januarensis"
"EN","Alternanthera kurtzii"
"LC","Alternanthera micrantha"
"LC","Alternanthera paronychioides"
"LC","Alternanthera praelonga"
"LC","Alternanthera puberula"
"LC","Alternanthera reineckii"
"LC","Alternanthera sessilis"
"LC","Alternanthera tenella"
"CR","Altoparadisium chapadense"
"EN","Amaranthus rosengurtii"
"LC","Amauropelta araucariensis"
"LC","Amauropelta concinna"
"CR","Amauropelta novaeana"
"VU","Amburana acreana"
"NT","Amburana cearensis"
"DD","Amorimia velutina"
"LC","Anacardium humile"
"LC","Ananas fritzmuelleri"
"LC","Anathallis adenochila"
"DD","Anathallis bleyensis"
"CR","Anathallis colnagoi"
"DD","Anathallis crebrifolia"
"VU","Anathallis gehrtii"
"DD","Anathallis kautskyi"
"LC","Anathallis montipelladensis"
"EN","Anathallis pabstii"
"NT","Anathallis radialis"
"VU","Anathallis tigridens"
"LC","Anaxagorea dolichocarpa"
"NT","Anaxagorea silvatica"
"LC","Ancistrotropis firmula"
"LC","Andira vermifuga"
"LC","Andradea floribunda"
"CR","Andreadoxa flava"
"DD","Andropogon campestris"
"LC","Andropogon carinatus"
"EN","Andropogon glaucophyllus"
"LC","Andropogon hypogynus"
"VU","Anemia blechnoides"
"VU","Anemia dentata"
"LC","Anemia elegans"
"DD","Anemia espiritosantensis"
"VU","Anemia gardneri"
"NT","Anemia organensis"
"VU","Anemia trichorhiza"
"NT","Anemia warmingii"
"LC","Anemone decapetala"
"LC","Anemone sellowii"
"EN","Anemopaegma arvense"
"CR","Anemopaegma mirabile"
"DD","Anemopaegma patelliforme"
"DD","Anetanthus gracilis"
"LC","Aneura pinguis"
"CR","Angelonia alternifolia"
"NT","Angelonia crassifolia"
"NT","Angelonia eriostachys"
"LC","Angelonia integerrima"
"EN","Angelonia pratensis"
"VU","Aniba ferrea"
"LC","Aniba heringeri"
"NT","Aniba intermedia"
"DD","Aniba pedicellata"
"VU","Aniba santalodora"
"DD","Aniseia martinicensis var. ambigua"
"NT","Annona bahiensis"
"DD","Annona burchellii"
"LC","Annona cacans"
"DD","Annona calcarata"
"LC","Annona coriacea"
"LC","Annona dioica"
"EN","Annona dolabripetala"
"DD","Annona ferruginea"
"LC","Annona glabra"
"NT","Annona glaucophylla"
"LC","Annona leptopetala"
"DD","Annona malmeana"
"LC","Annona monticola"
"EN","Annona parviflora"
"VU","Annona pickelii"
"LC","Annona sericea"
"NT","Annona spinescens"
"NT","Annona xylopiifolia"
"EN","Anomochloa marantoidea"
"DD","Anomospermum reticulatum subsp. nitidum"
"EN","Anteremanthus hatschbachii"
"CR","Anthaenantiopsis fiebrigii"
"NT","Anthurium bromelicola"
"LC","Anthurium coriaceum"
"DD","Anthurium fontellanus"
"NT","Anthurium ianthinopodum"
"LC","Anthurium jilekii"
"VU","Anthurium jureianum"
"LC","Anthurium kunthii"
"EN","Anthurium langsdorffii"
"LC","Anthurium longifolium"
"EN","Anthurium lucidum"
"EN","Anthurium luschnathianum"
"EN","Anthurium megapetiolatum"
"NT","Anthurium organense"
"LC","Anthurium parasiticum"
"NT","Anthurium parvum"
"VU","Anthurium radicans"
"VU","Anthurium xanthophylloides"
"LC","Aosa parviflora"
"CR","Aosa uleana"
"EN","Aphelandra espirito-santensis"
"LC","Aphelandra gigantea"
"LC","Aphelandra hirta"
"LC","Aphelandra longiflora"
"VU","Aphelandra margaritae"
"EN","Aphelandra maximiliana"
"LC","Aphelandra nitida"
"LC","Aphelandra prismatica"
"LC","Aphelandra schottiana"
"LC","Aphelandra squarrosa"
"LC","Apinagia riedelii"
"LC","Apium prostratum"
"EN","Apoclada simplex"
"VU","Apodanthera villosa"
"EN","Apodanthes caseariae"
"LC","Apteria aphylla"
"VU","Apuleia leiocarpa"
"EN","Arachis villosa"
"EN","Araeococcus montanus"
"LC","Araeococcus parviflorus"
"LC","Aralia warmingiana"
"LC","Arapatiella psilophylla"
"EN","Araucaria angustifolia"
"EN","Aristida brasiliensis"
"CR","Aristida constricta"
"LC","Aristida laevis"
"LC","Aristida oligospira"
"DD","Aristida sanctae-luciae"
"DD","Aristolochia curviflora"
"LC","Aristolochia cymbifera"
"EN","Aristolochia hypoglauca"
"LC","Aristolochia labiata"
"VU","Aristolochia odora"
"LC","Aristolochia odoratissima"
"LC","Aristolochia wendeliana"
"EN","Arrojadoa bahiensis"
"NT","Arrojadoa dinae"
"EN","Arrojadoa eriocaulis"
"EN","Arthrocereus glaziovii"
"EN","Arthrocereus melanurus subsp. magnus"
"EN","Arthrocereus melanurus subsp. melanurus"
"EN","Arthrocereus melanurus subsp. odorus"
"EN","Arthrocereus rondonianus"
"LC","Arthropogon villosus"
"CR","Arthropogon xerachne"
"VU","Arundinella deppeana"
"LC","Asclepias aequicornu"
"LC","Asclepias langsdorffii"
"LC","Asclepias mellodora"
"EN","Asemeia marquesiana"
"CR","Asemeia pohliana"
"LC","Aspasia lunata"
"NT","Aspicarpa harleyi"
"LC","Aspidogyne commelinoides"
"LC","Aspidogyne kuczynskii"
"DD","Aspidosperma album"
"LC","Aspidosperma australe"
"LC","Aspidosperma cylindrocarpon"
"LC","Aspidosperma desmanthum"
"LC","Aspidosperma macrocarpon"
"LC","Aspidosperma nobile"
"NT","Aspidosperma polyneuron"
"DD","Aspidosperma quebracho-blanco"
"LC","Aspidosperma ramiflorum"
"LC","Aspidosperma riedelii"
"DD","Aspidosperma sandwithianum"
"LC","Aspidosperma spruceanum"
"LC","Aspidosperma tomentosum"
"VU","Aspilia almasensis"
"LC","Aspilia attenuata"
"CR","Aspilia belo-horizontinae"
"EN","Aspilia caudata"
"LC","Aspilia clausseniana"
"EN","Aspilia cordifolia"
"VU","Aspilia cylindrocephala"
"EN","Aspilia diamantinae"
"VU","Aspilia diffusiflora"
"CR","Aspilia diniz-cruzeanae"
"DD","Aspilia discolor"
"NT","Aspilia duarteana"
"CR","Aspilia eglerii"
"EN","Aspilia espinhacensis"
"LC","Aspilia floribunda"
"VU","Aspilia goiazensis"
"EN","Aspilia grazielae"
"DD","Aspilia hatschbachii"
"CR","Aspilia jugata"
"CR","Aspilia ovatifolia"
"LC","Aspilia paraensis"
"EN","Aspilia pereirae"
"DD","Aspilia podophylla"
"DD","Aspilia pohlii"
"LC","Aspilia procumbens"
"EN","Aspilia prostrata"
"EN","Aspilia pseudoyedaea"
"VU","Aspilia reticulata"
"EN","Aspilia silphioides"
"NT","Asplenium austrobrasiliense"
"CR","Asplenium beckeri"
"EN","Asplenium bradeanum"
"NT","Asplenium campos-portoi"
"EN","Asplenium castaneum"
"LC","Asplenium lacinulatum"
"LC","Asplenium muellerianum"
"LC","Asplenium praemorsum"
"CR","Asplenium schwackei"
"CR","Asplenium trindadense"
"LC","Asplenium ulbrichtii"
"LC","Asplenium wacketii"
"LC","Asteranthos brasiliensis"
"LC","Asterella venosa"
"DD","Asterostigma cubense"
"LC","Asterostigma lividum"
"LC","Asterostigma lombardii"
"EN","Astraea cincta"
"LC","Astraea lobata"
"LC","Astrocaryum aculeatissimum"
"DD","Astrocaryum minus"
"EN","Astronium balansae"
"LC","Astronium fraxinifolium"
"LC","Astronium graveolens"
"LC","Astronium urundeuva"
"LC","Athenaea fasciculata"
"EN","Atractylocarpus brasiliensis"
"EN","Atractylocarpus longisetus"
"VU","Attalea barreirensis"
"EN","Attalea compta"
"NT","Attalea funifera"
"LC","Attalea oleifera"
"LC","Attalea phalerata"
"LC","Attalea pindobassu"
"LC","Attalea tessmannii"
"LC","Aulonemia aristulata"
"LC","Aulonemia effusa"
"CR","Austroblechnum andinum"
"NT","Austroblechnum organense"
"LC","Austroblechnum penna-marina"
"EN","Austroblechnum squamipes"
"LC","Austrocritonia angulicaulis"
"VU","Austroeupatorium rosmarinaceum"
"EN","Axonopus argentinus"
"LC","Axonopus aureus"
"CR","Axonopus bryoides"
"EN","Axonopus carajasensis"
"LC","Axonopus chrysoblepharis"
"LC","Axonopus comans"
"LC","Axonopus complanatus"
"VU","Axonopus fastigiatus"
"VU","Axonopus grandifolius"
"CR","Axonopus hydrolithicus"
"EN","Axonopus monticola"
"LC","Axonopus pressus"
"CR","Axonopus uninodis"
"NT","Azara uruguayensis"
"EN","Baccharis aracatubensis"
"LC","Baccharis brevifolia"
"VU","Baccharis concinna"
"EN","Baccharis elliptica"
"LC","Baccharis grandimucronata"
"EN","Baccharis hypericifolia"
"VU","Baccharis lychnophora"
"LC","Baccharis megapotamica"
"LC","Baccharis myricifolia"
"NT","Baccharis paranensis"
"VU","Baccharis penningtonii"
"VU","Baccharis polyphylla"
"VU","Baccharis pseudoalpestris"
"LC","Baccharis sagittalis"
"NT","Baccharis sphenophylla"
"LC","Baccharis truncata"
"EN","Bacopa cochlearia"
"LC","Bacopa congesta"
"LC","Bactris constanciae"
"NT","Bactris ferruginea"
"LC","Bactris hatschbachii"
"LC","Bactris pickelii"
"EN","Bactris timbuiensis"
"NT","Balfourodendron riedelianum"
"LC","Banara brasiliensis"
"VU","Banisteriopsis andersonii"
"VU","Banisteriopsis arborea"
"VU","Banisteriopsis basifixa"
"VU","Banisteriopsis byssacea"
"EN","Banisteriopsis cipoensis"
"VU","Banisteriopsis goiana"
"EN","Banisteriopsis hatschbachii"
"EN","Banisteriopsis hirsuta"
"EN","Banisteriopsis magdalenensis"
"NT","Banisteriopsis parviflora"
"CR","Banisteriopsis pseudojanusia"
"DD","Banisteriopsis salicifolia"
"VU","Banisteriopsis sellowiana"
"EN","Barbacenia andersonii"
"VU","Barbacenia blackii"
"EN","Barbacenia contasana"
"CR","Barbacenia cylindrica"
"EN","Barbacenia delicatula"
"DD","Barbacenia ensifolia"
"CR","Barbacenia exscapa"
"EN","Barbacenia fulva"
"EN","Barbacenia glabra"
"CR","Barbacenia glutinosa"
"EN","Barbacenia gounelleana"
"EN","Barbacenia hatschbachii"
"DD","Barbacenia hirtiflora"
"CR","Barbacenia longiscapa"
"CR","Barbacenia lymansmithii"
"DD","Barbacenia minima"
"EN","Barbacenia paranaensis"
"CR","Barbacenia pungens"
"CR","Barbacenia reflexa"
"EN","Barbacenia regis"
"CR","Barbacenia riparia"
"EN","Barbacenia rodriguesii"
"EN","Barbacenia spectabilis"
"EN","Barbacenia spiralis"
"EN","Barbacenia umbrosa"
"EN","Barbacenia williamsii"
"NT","Barbosella dusenii"
"DD","Barbosella spiritu-sanctensis"
"EN","Barbosella trilobata"
"LC","Barjonia erecta"
"EN","Barjonia grazielae"
"NT","Barnebya dispar"
"LC","Barrosoa apiculata"
"LC","Bathysa australis"
"CR","Bauhinia candelabriformis"
"EN","Bauhinia integerrima"
"VU","Bauhinia leptantha"
"VU","Bauhinia malacotrichoides"
"DD","Bauhinia marginata"
"EN","Begonia albidula"
"EN","Begonia altamiroi"
"LC","Begonia angularis"
"EN","Begonia apparicioi"
"EN","Begonia bahiensis"
"EN","Begonia besleriifolia"
"DD","Begonia brevilobata"
"EN","Begonia coccinea"
"CR","Begonia crispula"
"VU","Begonia curtii"
"EN","Begonia dentatiloba"
"LC","Begonia descoleana"
"EN","Begonia espiritosantensis"
"LC","Begonia fruticosa"
"EN","Begonia glabra"
"EN","Begonia handroi"
"LC","Begonia herbacea"
"LC","Begonia hirtella"
"LC","Begonia hispida"
"LC","Begonia huegelii"
"EN","Begonia ibitiocensis"
"CR","Begonia inconspicua"
"LC","Begonia integerrima"
"EN","Begonia itaguassuensis"
"EN","Begonia itatinensis"
"CR","Begonia jureiensis"
"EN","Begonia kuhlmannii"
"CR","Begonia larorum"
"DD","Begonia obscura"
"EN","Begonia organensis"
"EN","Begonia paranaensis"
"EN","Begonia paulensis"
"EN","Begonia perdusenii"
"CR","Begonia piresiana"
"EN","Begonia pluvialis"
"EN","Begonia polygonifolia"
"LC","Begonia radicans"
"LC","Begonia rufa"
"CR","Begonia ruschii"
"CR","Begonia salesopolensis"
"EN","Begonia santoslimae"
"CR","Begonia scharffii"
"EN","Begonia stenolepis"
"EN","Begonia sylvatica"
"EN","Begonia toledoana"
"LC","Begonia ulmifolia"
"EN","Begonia undulata"
"LC","Begonia valdensium"
"CR","Begonia venosa"
"EN","Begonia vicina"
"NT","Beilschmiedia linharensis"
"EN","Beilschmiedia rigida"
"DD","Belemia fucsioides"
"EN","Bernardia crassifolia"
"EN","Bernardia pulchella"
"DD","Bernardia similis"
"VU","Bertholletia excelsa"
"CR","Bertolonia angustifolia"
"CR","Bertolonia formosa"
"EN","Bertolonia foveolata"
"CR","Bertolonia hoehneana"
"EN","Bertolonia leuzeana"
"EN","Bertolonia paranaensis"
"VU","Besleria grandifolia"
"DD","Besleria meridionalis"
"LC","Bidens bipinnata"
"EN","Bidens edentula"
"LC","Bifrenaria aureofulva"
"LC","Bifrenaria calcarata"
"LC","Bifrenaria harrisoniae"
"LC","Bifrenaria inodora"
"LC","Bifrenaria leucorrhoda"
"LC","Bifrenaria racemosa"
"CR","Bifrenaria silvana"
"LC","Bifrenaria tetragona"
"LC","Bifrenaria tyrianthina"
"EN","Bifrenaria wittigii"
"LC","Billbergia alfonsijoannis"
"EN","Billbergia brasiliensis"
"LC","Billbergia distachia"
"LC","Billbergia leptopoda"
"DD","Billbergia lietzei"
"NT","Billbergia lymanii"
"DD","Billbergia macrocalyx"
"LC","Billbergia magnifica"
"LC","Billbergia meyeri"
"NT","Billbergia minarum"
"LC","Billbergia nutans"
"DD","Billbergia pohliana"
"DD","Billbergia pyramidalis"
"LC","Billbergia zebrina"
"CR","Bipinnula biplumata"
"DD","Bipinnula montana"
"EN","Bipinnula penicillata"
"LC","Bixa arborea"
"VU","Blechnum heringeri"
"DD","Blechnum mochaenum"
"LC","Blepharocalyx salicifolius"
"LC","Blepharodon bicuspidatum"
"EN","Blepharodon hatschbachii"
"LC","Blepharodon manicatum"
"EN","Blepharolejeunea securifolia"
"LC","Blotiella lindeniana"
"NT","Blumenbachia eichleri"
"LC","Blumenbachia scabra"
"LC","Blutaparon portulacoides"
"NT","Bocagea viridis"
"DD","Bocoa ratteri"
"LC","Bonamia agrostopolis"
"CR","Bonamia kuhlmannii"
"EN","Boopis bupleuroides"
"EN","Boopis itatiaiae"
"DD","Borreria amapaensis"
"DD","Borreria burchellii"
"DD","Borreria guimaraesensis"
"DD","Borreria irwiniana"
"VU","Borreria paulista"
"DD","Borreria pulchristipula"
"LC","Borreria remota"
"DD","Borreria rosmarinifolia"
"VU","Bothriochloa laguroides"
"LC","Botrypus virginianus"
"LC","Bouchea fluminensis"
"NT","Bouchetia anomala"
"LC","Bowdichia nitida"
"NT","Bowdichia virgilioides"
"VU","Brachionidium restrepioides"
"LC","Brachymenium hornschuchianum"
"VU","Brachystele camporum"
"CR","Bradea anomala"
"CR","Bradea bicornuta"
"EN","Bradea borrerioides"
"DD","Bradea kuhlmannii"
"CR","Bradea montana"
"EN","Brasilicereus markgrafii"
"LC","Brasiliopuntia brasiliensis"
"EN","Brasilochloa sampaiana"
"VU","Brassia arachnoidea"
"VU","Braunia plicata"
"LC","Braunia subincana"
"LC","Briza juergensii"
"LC","Bromelia balansae"
"CR","Bromelia braunii"
"VU","Bromelia exigua"
"EN","Bromeliophila natans"
"NT","Brosimum glaucum"
"LC","Brosimum glaziovii"
"LC","Brosimum lactescens"
"VU","Brunfelsia rupestris"
"LC","Bryopteris diffusa"
"LC","Bryopteris filicina"
"LC","Buchnera amethystina"
"LC","Buchnera integrifolia"
"LC","Buchnera juncea"
"LC","Buchnera longifolia"
"CR","Buddleja longiflora"
"VU","Buddleja speciosissima"
"CR","Bulbophyllum arianeae"
"EN","Bulbophyllum boudetiana"
"LC","Bulbophyllum campos-portoi"
"LC","Bulbophyllum cantagallense"
"LC","Bulbophyllum chloroglossum"
"LC","Bulbophyllum exaltatum"
"LC","Bulbophyllum gladiatum"
"VU","Bulbophyllum kautskyi"
"LC","Bulbophyllum plumosum"
"LC","Bulbophyllum tripetalum"
"LC","Bulbophyllum weddellii"
"VU","Bulbostylis distichoides"
"LC","Bulbostylis fendleri"
"NT","Bulbostylis latifolia"
"LC","Bulbostylis loefgrenii"
"NT","Bulbostylis lombardii"
"VU","Bulbostylis nesiotis"
"EN","Bulbostylis smithii"
"NT","Bunchosia acuminata"
"CR","Bunchosia itacarensis"
"VU","Bunchosia macilenta"
"LC","Bunchosia maritima"
"LC","Bunchosia pallescens"
"EN","Bunchosia pernambucana"
"DD","Burmannia aprica"
"LC","Burmannia bicolor"
"LC","Burmannia damazii"
"LC","Burmannia flava"
"VU","Bursera simaruba"
"LC","Butia archeri"
"VU","Butia capitata"
"VU","Butia eriospatha"
"DD","Butia leiospatha"
"CR","Butia leptospatha"
"VU","Butia microspadix"
"LC","Butia paraguayensis"
"EN","Butia purpurascens"
"VU","Butia yatay"
"VU","Byrsonima alvimii"
"NT","Byrsonima bahiana"
"LC","Byrsonima blanchetiana"
"VU","Byrsonima brachybotrya"
"NT","Byrsonima cacaophila"
"EN","Byrsonima cipoensis"
"LC","Byrsonima coccolobifolia"
"EN","Byrsonima cordifolia"
"CR","Byrsonima fonsecae"
"VU","Byrsonima hatschbachii"
"LC","Byrsonima japurensis"
"EN","Byrsonima lanulosa"
"NT","Byrsonima macrophylla"
"EN","Byrsonima microphylla"
"NT","Byrsonima morii"
"EN","Byrsonima onishiana"
"LC","Byrsonima rigida"
"LC","Byrsonima variabilis"
"LC","Byttneria catalpifolia subsp. sidifolia"
"DD","Byttneria implacabilis"
"LC","Byttneria oblongata"
"LC","Byttneria scabra"
"EN","Caatinganthus rubropappus"
"LC","Cabomba aquatica"
"LC","Cabomba caroliniana"
"LC","Cabomba furcata"
"CR","Calea abbreviata"
"VU","Calea acaulis"
"CR","Calea brittoniana"
"LC","Calea clausseniana"
"LC","Calea clematidea"
"LC","Calea cymosa"
"VU","Calea gentianoides"
"EN","Calea heteropappa"
"EN","Calea irwinii"
"EN","Calea kristiniae"
"LC","Calea lantanoides"
"NT","Calea polycephala"
"LC","Calea serrata"
"EN","Calibrachoa eglandulata"
"EN","Calibrachoa elegans"
"EN","Calibrachoa humilis"
"DD","Calibrachoa serrulata"
"VU","Calibrachoa spathulata"
"EN","Calliandra carrascana"
"EN","Calliandra gardneri"
"DD","Calliandra imbricata"
"VU","Calliandra linearis"
"DD","Calliandra santosiana"
"VU","Calliandra semisepulta"
"DD","Callianthe monteiroi"
"LC","Callisia monandra"
"VU","Callisthene erythroclada"
"EN","Callisthene inundata"
"EN","Calycolpus australis"
"VU","Calycolpus legrandii"
